年度,省份,学校,录取批次,文/理（选科要求）,专业,录取最低分,省内排名,本一线（本科线）,本二线
2021,北京,大连海事大学,本科批,物理必选,电子信息工程（中外合作办学）（中外合作办学）,584,13397,400,本二
2021,北京,大连海事大学,本科批,物理必选,机械类,591,12047,400,本二
2021,北京,大连海事大学,本科批,物理必选,计算机类,593,11658,400,本二
2021,北京,哈尔滨工业大学,本科批,物理必选,工科试验班（英才本硕博连读）,665,1526,400,本二
2021,北京,哈尔滨工业大学,本科批,物理必选,工科试验班（计算机与电子通信）,653,2465,400,本二
2021,北京,哈尔滨工业大学,本科批,物理必选,工科试验班（智能装备）,653,2465,400,本二
2021,北京,哈尔滨工业大学,本科批,物理必选,工科试验班（航天与自动化）,652,2546,400,本二
2021,北京,哈尔滨工业大学,本科批,物理必选,数学与应用数学（中外合作办学）（中外合作办学）,621,5887,400,本二
2021,北京,哈尔滨工业大学,本科批,物理必选,应用物理学（中外合作办学）（中外合作办学）,617,6380,400,本二
2021,北京,哈尔滨工业大学,本科批,物理必选,工业设计（中外合作办学）（中外合作办学）,611,7169,400,本二
2021,北京,哈尔滨工业大学,本科批,物理必选,化学（中外合作办学）（中外合作办学）,607,7704,400,本二
2021,北京,云南大学,本科批,历史/思想政治(2选1),政治学与行政学,587,10456,400,本二
2021,北京,云南大学,本科批,物/化/生(3选1),生物科学（国家生物学基地班）,579,11703,400,本二
2021,北京,云南大学,本科批,物理必选,经济学类,565,13924,400,本二
2021,北京,长安大学,本科批,物理必选,道路桥梁与渡河工程,576,12334,400,本二
2021,北京,长安大学,本科批,不限,新闻传播学类,573,12798,400,本二
2021,北京,长安大学,本科批,物理必选,电气工程及其自动化,571,13109,400,本二
2021,北京,长安大学,本科批,物理必选,计算机类,571,13109,400,本二
2021,北京,长安大学,本科批,不限,英语,570,13253,400,本二
2021,北京,长安大学,本科批,物理必选,自动化类,570,13253,400,本二
2021,北京,长安大学,本科批,物理必选,车辆工程,570,13253,400,本二
2021,北京,长安大学,本科批,物理必选,材料类,568,13571,400,本二
2021,北京,长安大学,本科批,物理必选,土木类,568,13571,400,本二
2021,北京,西北大学,本科批,历史/地理(2选1),考古学,626,5280,400,本二
2021,北京,西北大学,本科批,物/史/政(3选1),经济统计学,604,8125,400,本二
2021,北京,北京交通大学,本科批,物理必选,理科试验班类（詹天佑本博直升试点班）,645,3347,400,本二
2021,北京,北京交通大学,本科批,物理必选,经济管理试验班,638,4192,400,本二
2021,北京,北京交通大学,本科批,物理必选,理科试验班（智能光电与纳米技术）,637,4325,400,本二
2021,北京,北京交通大学,本科批,物理必选,理科试验班（数学与统计）,636,4458,400,本二
2021,北京,北京交通大学,本科批,物理必选,软件工程,636,4458,400,本二
2021,北京,北京交通大学,本科批,物理必选,电气类（含双学士学位项目）,636,4458,400,本二
2021,北京,北京交通大学,本科批,物理必选,机械类（智能制造与智能装备，含双学士学位项目）,644,3455,400,本二
2021,北京,北京交通大学,本科批,物理必选,交通运输类（含双学士学位项目）,636,4458,400,本二
2021,北京,北京交通大学,本科批,物理必选,计算机类,641,3816,400,本二
2021,北京,北京交通大学,本科批,物理必选,电子信息类（通信与控制）,639,4070,400,本二
2021,北京,北京交通大学,本科批,不限,法学,630,5308,400,本二
2021,北京,北京交通大学,本科批,不限,外国语言文学类,636,4458,400,本二
2021,北京,北京交通大学,本科批,物理必选,机械电子工程（中外合作办学）,624,6202,400,本二
2021,北京,北京交通大学,本科批,物理必选,纳米材料与技术（中外合作办学）,620,6861,400,本二
2021,北京,北京交通大学,本科批,物理必选,环境工程（中外合作办学）,605,9367,400,本二
2021,北京,北京交通大学,本科批,物理必选,计算机科学与技术（中外合作办学）,611,8329,400,本二
2021,北京,北京交通大学,本科批,物理必选,通信工程（中外合作办学）,607,9032,400,本二
2021,北京,北京交通大学,本科批,物理必选,信息管理与信息系统（中外合作办学）,606,9197,400,本二
2021,北京,北京交通大学,本科批,不限,会计学（中外合作办学）,608,8860,400,本二
2021,北京,北京交通大学,本科批,不限,工商管理（中外合作办学）,603,9765,400,本二
2021,北京,北京外国语大学,本科批,不限,传播学,631,5161,400,本二
2021,北京,北京外国语大学,本科批,不限,翻译（外交外事高级翻译）,645,3347,400,本二
2021,北京,北京外国语大学,本科批,不限,日语,627,5755,400,本二
2021,北京,北京外国语大学,本科批,不限,西班牙语（中国人民大学国际新闻传播专业联合培养）,635,4604,400,本二
2021,北京,北京外国语大学,本科批,不限,西班牙语,628,5596,400,本二
2021,北京,北京外国语大学,本科批,不限,法语,628,5596,400,本二
2021,北京,北京外国语大学,本科批,不限,德语,627,5755,400,本二
2021,北京,北京外国语大学,本科批,不限,俄语,629,5457,400,本二
2021,北京,北京外国语大学,本科批,不限,英语（国别与区域研究）,631,5161,400,本二
2021,北京,北京外国语大学,本科批,不限,英语（中央财经大学金融学专业联合培养）,634,4729,400,本二
2021,北京,北京外国语大学,本科批,不限,英语（北京理工大学信息管理与系统专业联合培养）,644,3455,400,本二
2021,北京,北京外国语大学,本科批,不限,英语（中国政法大学联合培养涉外法治人才）,641,3816,400,本二
2021,北京,北京外国语大学,本科批,不限,英语,632,5029,400,本二
2021,北京,北京外国语大学,本科批,不限,国际组织与全球治理,633,4881,400,本二
2021,北京,北京外国语大学,本科批,不限,外交学,644,3455,400,本二
2021,北京,北京外国语大学,本科批,不限,法学,638,4192,400,本二
2021,北京,北京外国语大学,本科批,不限,国际经济与贸易,636,4458,400,本二
2021,北京,北京外国语大学,本科批,不限,金融学,632,5029,400,本二
2021,北京,河北工业大学,本科批,物理必选,金融学,591,12047,400,本二
2021,北京,河北工业大学,本科批,物理必选,车辆工程,594,11476,400,本二
2021,北京,河北工业大学,本科批,物理必选,电气工程及其自动化,598,10699,400,本二
2021,北京,河北工业大学,本科批,化学必选,高分子材料与工程,590,12247,400,本二
2021,北京,武汉大学,本科批,历史必选,哲学类,656,2180,400,本二
2021,北京,武汉大学,本科批,历史必选,中国语言文学类,659,1901,400,本二
2021,北京,武汉大学,本科批,物理/历史(2选1),金融学类（弘毅学堂数理经济与数理金融试验班）,662,1662,400,本二
2021,北京,武汉大学,本科批,物理/历史(2选1),公共管理类,654,2369,400,本二
2021,北京,武汉大学,本科批,物理/历史(2选1),外国语言文学类,656,2180,400,本二
2021,北京,武汉大学,本科批,物理、化学(2科必选),生物科学类,654,2369,400,本二
2021,北京,武汉大学,本科批,物理、化学(2科必选),数学类,654,2369,400,本二
2021,北京,武汉大学,本科批,物理必选,计算机科学与技术（弘毅班）,664,1485,400,本二
2021,北京,武汉大学,本科批,物理必选,遥感科学与技术,653,2457,400,本二
2021,北京,武汉大学,本科批,物理必选,测绘类,653,2457,400,本二
2021,北京,武汉大学,本科批,物理必选,计算机类（计算机学院）,658,1979,400,本二
2021,北京,武汉大学,本科批,物理必选,地球物理学（弘毅班）,656,2180,400,本二
2021,北京,武汉大学,本科批,物理必选,计算机类（国家网络安全学院）,656,2180,400,本二
2021,北京,武汉大学,本科批,历史必选,人文科学试验班（弘毅学堂）,662,1662,400,本二
2021,北京,武汉大学,本科批,历史必选,法学,663,1581,400,本二
2021,北京,武汉大学,本科批,历史必选,历史学类,656,2180,400,本二
2021,北京,武汉大学,本科批,物理/历史(2选1),国际经济与贸易（弘毅学堂数字贸易与金融试验班）,659,1901,400,本二
2021,北京,武汉大学,本科批,物理/历史(2选1),新闻传播学类,655,2269,400,本二
2021,北京,武汉大学,本科批,物理/历史(2选1),经济学类,658,1979,400,本二
2021,北京,武汉大学,本科批,物理、化学(2科必选),理科试验班（弘毅学堂）,664,1485,400,本二
2021,北京,武汉大学,本科批,物理、化学(2科必选),化学类,654,2369,400,本二
2021,北京,武汉大学,本科批,物理、化学(2科必选),物理学类,656,2180,400,本二
2021,北京,武汉大学,本科批,物理必选,导航工程（智能导航试验班）,655,2269,400,本二
2021,北京,武汉大学,本科批,物理必选,电子信息类,653,2457,400,本二
2021,北京,武汉大学,本科批,物理必选,工科试验班（智能电气试验班）,656,2180,400,本二
2021,北京,武汉大学,本科批,物理必选,信息管理与信息系统,653,2457,400,本二
2021,北京,武汉大学,本科批,物理必选,建筑学（中外合作办学）（五年制）,629,5457,400,本二
2021,北京,北京林业大学,本科批,物/生/地(3选1),风景园林（梁希实验班）,631,5161,400,本二
2021,北京,北京林业大学,本科批,化学/生物(2选1),生物科学（拔尖班）,630,5308,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),国家公园建设与管理（梁希实验班）,628,5596,400,本二
2021,北京,北京林业大学,本科批,物/化/地(3选1),地理信息科学,627,5755,400,本二
2021,北京,北京林业大学,本科批,化学/生物(2选1),生物科学类,626,5895,400,本二
2021,北京,北京林业大学,本科批,化学/生物(2选1),林学类（梁希实验班）,625,6045,400,本二
2021,北京,北京林业大学,本科批,物/化/地(3选1),自然地理与资源环境,622,6528,400,本二
2021,北京,北京林业大学,本科批,物/生/地(3选1),风景园林,621,6691,400,本二
2021,北京,北京林业大学,本科批,不限,农林经济管理（梁希实验班）,620,6861,400,本二
2021,北京,北京林业大学,本科批,不限,法学,620,6861,400,本二
2021,北京,北京林业大学,本科批,化学/生物(2选1),林学类,617,7361,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),水土保持与荒漠化防治（梁希实验班）,616,7542,400,本二
2021,北京,北京林业大学,本科批,化学/生物(2选1),园艺（观赏园艺方向）,616,7542,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),林业工程类（梁希实验班）,615,7700,400,本二
2021,北京,北京林业大学,本科批,物/史/地(3选1),城乡规划,615,7700,400,本二
2021,北京,北京林业大学,本科批,不限,英语,613,7999,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),草业科学（梁希实验班）,612,8147,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),野生动物与自然保护区管理,612,8147,400,本二
2021,北京,北京林业大学,本科批,不限,电子商务,611,8329,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),生态学,611,8329,400,本二
2021,北京,北京林业大学,本科批,物理必选,自动化,601,10168,400,本二
2021,北京,北京林业大学,本科批,物理必选,机械设计制造及其自动化,601,10168,400,本二
2021,北京,北京林业大学,本科批,物理必选,给排水科学与工程,600,10348,400,本二
2021,北京,北京林业大学,本科批,化学/生物(2选1),生物科学（拔尖班）,630,5308,400,本二
2021,北京,北京林业大学,本科批,物/化/地(3选1),地理信息科学,627,5755,400,本二
2021,北京,北京林业大学,本科批,物/化/地(3选1),自然地理与资源环境,622,6528,400,本二
2021,北京,北京林业大学,本科批,不限,农林经济管理（梁希实验班）,620,6861,400,本二
2021,北京,北京林业大学,本科批,不限,法学,620,6861,400,本二
2021,北京,北京林业大学,本科批,化学/生物(2选1),园艺（观赏园艺方向）,616,7542,400,本二
2021,北京,北京林业大学,本科批,物/史/地(3选1),城乡规划,615,7700,400,本二
2021,北京,北京林业大学,本科批,物理必选,信息管理与信息系统,605,9367,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),国际经济与贸易,605,9367,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),林业工程类,605,9367,400,本二
2021,北京,北京林业大学,本科批,化学必选,环境工程,604,9574,400,本二
2021,北京,北京林业大学,本科批,物理必选,电子信息科学与技术,604,9574,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),金融学,604,9574,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),草坪科学与工程,603,9765,400,本二
2021,北京,北京林业大学,本科批,物理必选,信息管理与信息系统（管理信息方向）,602,9999,400,本二
2021,北京,北京林业大学,本科批,物理必选,电气工程及其自动化,601,10168,400,本二
2021,北京,北京林业大学,本科批,物理必选,车辆工程,601,10168,400,本二
2021,北京,北京林业大学,本科批,物/化/生(3选1),金融学,604,9574,400,本二
2021,北京,北京林业大学,本科批,物理必选,信息管理与信息系统（管理信息方向）,602,9999,400,本二
2021,北京,北京林业大学,本科批,物理必选,车辆工程,601,10168,400,本二
2021,北京,北京林业大学,本科批,物理必选,土木工程,600,10348,400,本二
2021,北京,湖南大学,本科批,物理必选,计算机科学与技术（智能班）,633,4511,400,本二
2021,北京,湖南大学,本科批,物理必选,信息安全,632,4629,400,本二
2021,北京,湖南大学,本科批,物理必选,自动化,630,4857,400,本二
2021,北京,湖南大学,本科批,物理必选,软件工程,629,4964,400,本二
2021,北京,湖南大学,本科批,物理必选,数学类,629,4964,400,本二
2021,北京,湖南大学,本科批,物理必选,电气工程及其自动化,629,4964,400,本二
2021,北京,湖南大学,本科批,物理必选,通信工程,627,5172,400,本二
2021,北京,湖南大学,本科批,物理必选,建筑学（五年制）,627,5172,400,本二
2021,北京,湖南大学,本科批,物理必选,机器人工程,626,5280,400,本二
2021,北京,湖南大学,本科批,历史必选,历史学,625,5408,400,本二
2021,北京,湖南大学,本科批,物理必选,城乡规划（五年制）,625,5408,400,本二
2021,北京,湖南大学,本科批,物理必选,工程力学（力学实验班）,624,5530,400,本二
2021,北京,湖南大学,本科批,不限,法学,624,5530,400,本二
2021,北京,湖南大学,本科批,物理必选,土木工程（智能土木实验班）,623,5653,400,本二
2021,北京,湖南大学,本科批,物理必选,电子商务,623,5653,400,本二
2021,北京,湖南大学,本科批,不限,会计学,623,5653,400,本二
2021,北京,湖南大学,本科批,物/化/生(3选1),生物技术,622,5775,400,本二
2021,北京,湖南大学,本科批,物/化/生(3选1),统计学类,622,5775,400,本二
2021,北京,湖南大学,本科批,物理必选,应用物理学,622,5775,400,本二
2021,北京,湖南大学,本科批,物理必选,智能制造工程,622,5775,400,本二
2021,北京,湖南大学,本科批,不限,工业设计,622,5775,400,本二
2021,北京,湖南大学,本科批,不限,汉语言文学,621,5887,400,本二
2021,北京,湖南大学,本科批,物理必选,建筑环境与能源应用工程（低碳建筑实验班）,620,5999,400,本二
2021,北京,湖南大学,本科批,物理必选,材料科学与工程,620,5999,400,本二
2021,北京,湖南大学,本科批,不限,新闻传播学类,620,5999,400,本二
2021,北京,湖南大学,本科批,不限,精算学,620,5999,400,本二
2021,北京,湖南大学,本科批,不限,金融学,620,5999,400,本二
2021,北京,湖南大学,本科批,物理/化学(2选1),化学类,619,6115,400,本二
2021,北京,湖南大学,本科批,物理必选,数字经济,619,6115,400,本二
2021,北京,湖南大学,本科批,不限,经济学类,619,6115,400,本二
2021,北京,湖南大学,本科批,不限,工商管理,619,6115,400,本二
2021,北京,湖南大学,本科批,物/化/生(3选1),生物医学工程,618,6248,400,本二
2021,北京,湖南大学,本科批,不限,日语,618,6248,400,本二
2021,北京,湖南大学,本科批,不限,英语（语言智能实验班）,618,6248,400,本二
2021,北京,湖南大学,本科批,不限,行政管理,618,6248,400,本二
2021,北京,湖南大学,本科批,历史必选,边防军人子女预科班,555,15752,400,本二
2021,北京,中央民族大学,本科批,不限,法学类（含法学、法学（涉外法治人才））（办学地点丰台校区）,637,3460,400,本二
2021,北京,中央民族大学,本科批,不限,外国语言文学类（6000元，只招英语考生，含英语翻译）（办学地点丰台校区）,628,4415,400,本二
2021,北京,中央民族大学,本科批,历史必选,民族学（办学地点丰台校区）,627,4540,400,本二
2021,北京,中央民族大学,本科批,不限,新闻传播学类（含新闻学、广告学）（办学地点丰台校区）,625,4759,400,本二
2021,北京,中央民族大学,本科批,不限,汉语国际教育（办学地点丰台校区）,624,4866,400,本二
2021,北京,中央民族大学,本科批,不限,工商管理类（含工商管理、会计学、财务管理、人力资源管理、旅游管理）（办学地点丰台校区）,624,4866,400,本二
2021,北京,中央民族大学,本科批,不限,社会学类（含社会学、社会工作）（办学地点丰台校区）,624,4866,400,本二
2021,北京,中央民族大学,本科批,历史必选,文物与博物馆学（办学地点丰台校区）,624,4866,400,本二
2021,北京,中央民族大学,本科批,不限,经济学类（含经济学、数字经济、财政学、金融学、国际经济与贸易）（办学地点丰台校区）,623,4983,400,本二
2021,北京,中央民族大学,本科批,不限,汉语言文学（办学地点丰台校区）,622,5111,400,本二
2021,北京,中央民族大学,本科批,历史必选,历史学类（含历史学（基地班）、历史学（中国与周边国家关系史实验班））（办学地点丰台校区）,622,5111,400,本二
2021,北京,中央民族大学,本科批,不限,哲学类（含哲学、宗教学）（办学地点丰台校区）,620,5343,400,本二
2021,北京,中央民族大学,本科批,物/化/生(3选1),生物科学类（5300元，含生物科学、生态学）（办学地点丰台校区）,619,5479,400,本二
2021,北京,中央民族大学,本科批,物理必选,信息与计算科学（办学地点丰台校区）,619,5479,400,本二
2021,北京,中央民族大学,本科批,物理必选,统计学类（5300元，含统计学、应用统计学）（办学地点丰台校区）,618,5597,400,本二
2021,北京,中央民族大学,本科批,物理必选,电子信息类（5300元，含电子信息工程、通信工程）（办学地点丰台校区）,618,5597,400,本二
2021,北京,中央民族大学,本科批,物/化/生(3选1),环境科学与工程类（5300元，含环境工程、环境科学）（办学地点丰台校区）,618,5597,400,本二
2021,北京,中央民族大学,本科批,物理必选,计算机类（5300元，含计算机科学与技术、软件工程、数据科学与大数据技术）（办学地点丰台校区）,617,5719,400,本二
2021,北京,中央民族大学,本科批,物/化/生(3选1),环境科学（中外合作办学）（56000元）（办学地点丰台校区）（中外合作办学）,600,8015,400,本二
2021,北京,中国人民大学,本科批,物理/历史(2选1),金融学类（含双学士学位项目）,679,712,400,本二
2021,北京,中国人民大学,本科批,不限,法学（含双学士学位项目）,678,761,400,本二
2021,北京,中国人民大学,本科批,物理/历史(2选1),财政学类（含双学士学位项目）,676,857,400,本二
2021,北京,中国人民大学,本科批,物理必选,理科试验班类（含双学士学位项目，拔尖人才培养基地）,675,908,400,本二
2021,北京,中国人民大学,本科批,物理必选,理科试验班（基础学科类，含实验班项目、拔尖人才基地）,674,966,400,本二
2021,北京,中国人民大学,本科批,不限,经济学类（含双学士学位项目，拔尖人才培养基地）,674,966,400,本二
2021,北京,中国人民大学,本科批,不限,新闻传播学类（含双学士学位项目）,674,966,400,本二
2021,北京,中国人民大学,本科批,物理/历史(2选1),工商管理类（含国际三学士学位项目、双学士学位项目）,673,1018,400,本二
2021,北京,中国人民大学,本科批,不限,人文科学试验班（含双学士学位项目，拔尖人才培养基地）,671,1132,400,本二
2021,北京,中国人民大学,本科批,不限,社会科学试验班（管理学科类，含双学士学位项目）,670,1207,400,本二
2021,北京,中国人民大学,本科批,不限,国际政治（含双学士学位项目）,670,1207,400,本二
2021,北京,中国人民大学,本科批,不限,人力资源管理（含4加1本硕国际项目）,670,1207,400,本二
2021,北京,中国人民大学,本科批,不限,社会学类（含直博项目）,670,1207,400,本二
2021,北京,北京航空航天大学,本科批,物理必选,工科试验班类（计算机拔尖计划）,680,667,400,本二
